tool_slug,tool_name,category,tags,description,website_link,domain,quality_status,recovered_confidence
facts,&facts,Marketing,Marketing,Real-time consumer insights without complex research.. [Contact for Pricing],https://andfacts.com/,andfacts.com,scraped_verified,
101-school,101.school,AI Course Creator,AI Course Creator,"Learn at Your Own Pace, Anytime, Anywhere",https://101.school/,101.school,verified,
10web,10Web,low-code/no-code,"low-code/no-code,website builders,e-commerce","AI-driven website creation, hosting, optimization, and ecommerce in one platform.",https://10web.io/,10web.io,verified,
11x,11x,marketing,"marketing,sales assistant,ai agents",Revolutionize sales with 24/7 AI-driven outreach automation.,https://www.11x.ai/,www.11x.ai,verified,
123rf,123RF,image generators,image generators,Transforms text prompts into unique and customizable images for various applications.. [Free Trial],https://123rf.com/,123rf.com,scraped_verified,
123,123看房,AI Interior & Room Designer,AI Interior & Room Designer,"Transform Your Space, Virtually Explore",https://123kanfang.com/,123kanfang.com,verified,
15-minute-business-plans,15-minute Business Plans,startup tools,startup tools,AI-driven strategy crafting in minutes for entrepreneurs on the go.. [Paid],https://15minutebusinessplans.com/,15minutebusinessplans.com,scraped_verified,
15minuteplan-ai,15minuteplan.ai,Marketing Plan Generator,Marketing Plan Generator,Instant Business Plans with AI Precision,https://www.15minuteplan.ai/,www.15minuteplan.ai,verified,
16x-prompt,16x Prompt,Prompt,Prompt,Code Perfectly with Contextuelle AI Prompting,https://prompt.16x.engineer/,prompt.16x.engineer,verified,
1millionresume-com,1MillionResume.com,Resume Builder,Resume Builder,Revolutionize the power of tool for professional resumes.,https://1millionresume.com/,1millionresume.com,verified,
1page,1Page,Sales Assistant,Sales Assistant,Revolutionize with sales teams with real-time insights and boost productivity.,https://get1page.com/,get1page.com,verified,
1forall,1forAll,text to video,"text to video,text to speech,text to image","Streamlines content creation with AI-generated voices, images, videos.",https://www.1forall.ai/,www.1forall.ai,verified,
20paths,20paths,sales assistant,sales assistant,Create captivating product demos with AI-driven customization.,https://20paths.com/,20paths.com,verified,
