name,heading,category,desc,domain,website,score,source,status
&facts,Marketing,Marketing,Real-time consumer insights without complex research.. [Contact for Pricing],andfacts.com,https://andfacts.com/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
123RF,Image Generator,image generators,Transforms text prompts into unique and customizable images for various applications.. [Free Trial],123rf.com,https://123rf.com/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
15-minute Business Plans,Startup Tools,startup tools,AI-driven strategy crafting in minutes for entrepreneurs on the go.. [Paid],15minutebusinessplans.com,https://15minutebusinessplans.com/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
1PX.AI,Image Editing,Image Editing,"Revolutionize image editing: AI-driven, bulk processing, customizable workflows.. [Paid]",1px.ai,https://1px.ai/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
3DAiLY,3D,3D,Unleash AI-driven 3D model creation with artist refinement for game-ready characters and a collaborative marketplace.. [Freemium],3daily.ai,https://3daily.ai/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
3DFY,Design Generators,design generators,Revolutionize 3D model creation with AI: Text descriptions to detailed assets.. [Free],3dfy.ai,https://3dfy.ai/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
40h,Personal Assistant,Personal Assistant,"Maximize productivity with AI scheduling, task automation, and insightful analytics.. [Freemium]",40h.io,https://40h.io/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
6000 Thoughts,Personal Assistant,Personal Assistant,"6000 Thoughts is an innovative AI-based app designed to help users gain clarity of thought, reduce mental distractions, and achieve peace of mind.. [Free]",6000thoughts.com,https://6000thoughts.com/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
60sec.site,Low-code/no-code,low-code/no-code,Create A Custom Landing Page For Your App in 60 seconds. [Freemium],60sec.site,https://60sec.site/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
A.V. Mapping,Music,Music,Revolutionize audiovisual syncing with AI-driven precision and speed.. [Freemium],avmapping.co,https://avmapping.co/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
ABBYY,Legal,Legal,"Converts documents and images into editable, searchable formats.. [Contact for Pricing]",abbyy.com,https://abbyy.com/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
ACE Studio,Music,Music,AI-driven video editing and collaboration platform for creators.. [Paid],acestudio.ai,https://acestudio.ai/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
AI ASO Manager,Translator,Translator,Increase Organic Traffic to a Mobile App. [Paid],asomanager.io,https://asomanager.io/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
AI Assistant,AI Chatbots,ai chatbots,"Boost productivity with personalized AI: research, manage documents, generate content.. [Free Trial]",aiassistant.so,https://aiassistant.so/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
AI Baby Generator,Image Generator,image generators,AI Baby Generator is an AI-powered tool that predicts what a baby will look like based on parent photos or physical descriptions. . [Paid],aibabygenerator.com,https://aibabygenerator.com/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
AI Banner,Design Generators,design generators,"Automate, customize, and analyze stunning banners effortlessly.. [Freemium]",app.ai-banner.com,https://app.ai-banner.com/,1.0,https://raw.githubusercontent.com/tankvn/awesome-ai-tools/master/README.md,200
